CustomerKey,BK_customer_id,FullName,Email,City,_State,Country,JoinedDateKey,IsLoyalCustomer,RowActiveStartDate,RowActiveEndDate,RowIsActive,RowCycleId,RowUpdateCycleId,InsertDate,UpdateDate
-1,-1,Unknown,Unknown,Unknown,Unknown,Unknown,19000101,0,1900-01-01 00:00:00,NULL,1,-1,NULL,2025-08-27 16:36:00,NULL
1,19915,Michael Garcia,michael_garcia@rogers.net,East Phillipborough,Hawaii,Bermuda,20210225,1,2025-08-27 00:00:00,NULL,1,1,NULL,2025-08-27 16:36:00,NULL
2,19916,Sarah Johnson,sjohnson@example.org,Lisamouth,Louisiana,Turkey,20240308,1,2025-08-27 00:00:00,NULL,1,1,NULL,2025-08-27 16:36:00,NULL
3,19917,Steven Williams,steven.williams@gmail.com,Kylefurt,New Mexico,Bermuda,20210307,1,2025-08-27 00:00:00,NULL,1,1,NULL,2025-08-27 16:36:00,NULL
4,19918,John Lewis,john_lewis@torres-reyes.com,Port Carolineburgh,Texas,Nicaragua,20210718,1,2025-08-27 00:00:00,NULL,1,1,NULL,2025-08-27 16:36:00,NULL
5,19919,Chad Taylor,chad68@gmail.com,Lake Calebhaven,Missouri,Niue,20220326,1,2025-08-27 00:00:00,NULL,1,1,NULL,2025-08-27 16:36:00,NULL
6,19920,Tammy Gregory,tgregory@example.org,Timothyfort,Louisiana,Kiribati,20211021,0,2025-08-27 00:00:00,NULL,1,1,NULL,2025-08-27 16:36:00,NULL
7,19921,Dale Brewer,dale91@yahoo.com,East Diane,Mississippi,Romania,20220427,1,2025-08-27 00:00:00,NULL,1,1,NULL,2025-08-27 16:36:00,NULL
8,19922,Tammy Jones,tammy.jones@hotmail.com,South Laura,Tennessee,Micronesia,20231126,0,2025-08-27 00:00:00,NULL,1,1,NULL,2025-08-27 16:36:00,NULL
9,19923,Alison Wood,awood@example.org,Port Louis,Florida,Egypt,20241017,0,2025-08-27 00:00:00,NULL,1,1,NULL,2025-08-27 16:36:00,NULL
